,actor1,actor2,admin1,admin2,admin3,assoc_actor_1,assoc_actor_2,country,data_id,event_date,event_id_cnty,event_id_no_cnty,event_type,fatalities,geo_precision,inter1,inter2,interaction,iso,iso3,latitude,location,longitude,notes,region,source,source_scale,sub_event_type,time_precision,timestamp,year
714,JNIM: Group for Support of Islam and Muslims,Tolle Communal Militia (Mali),Mopti,Bankass,Baye,Katiba Macina,,Mali,6695665,2019-11-24,MLI3308,3308,Battles,3,1,2,4,24,466,MLI,13.5161,Tolle,-3.4997,"On 24 November 2019, suspected Katiba Macina (JNIM) militants attacked the village of Tolle, village self-defense fought back and killed three militants while one militiaman was wounded.",Western Africa,Studio Tamani,Subnational,Armed clash,1,1576855223,2019
715,Protesters (Mali),,Bamako,Bamako,Bamako,Dogon Ethnic Group (Mali),,Mali,6704992,2019-11-23,MLI3307,3307,Protests,0,1,6,0,60,466,MLI,12.6500,Bamako,-8.0000,"On 23 November 2019, Dogon civil society organizations staged a protest march in support of Dan Na Ambassagou, while condemning violence and demanding improved security for people in central Mali.[size=no report]",Western Africa,ORTM TV,National,Peaceful protest,1,1578503458,2019
716,JNIM: Group for Support of Islam and Muslims,Police Forces of Mali (2013-) Gendarmerie,Mopti,Bandiagara,Bara Sara,Katiba Macina,,Mali,6696263,2019-11-22,MLI3305,3305,Battles,2,1,2,1,12,466,MLI,14.0615,Mandoli,-3.7861,"On November 22 2019, presumed Katiba Macina (JNIM) militants attacked a gendarmerie position in Mandoli, two gendarmes were killed and six others wounded.",Western Africa,Nord Sud Journal; AMAP; Koro Kibaru,Other-New media,Armed clash,1,1576855225,2019
717,Islamic State (Greater Sahara),Military Forces of Mali (2013-),Gao,Menaka,Menaka,,Military Forces of Niger (2011-),Mali,6698007,2019-11-18,MLI3304,3304,Battles,60,2,2,1,12,466,MLI,15.3826,Tabonkort,2.1009,"On November 18 2019, ISGS militants ambushed a Malian army convoy in the area of Tabankort, near Akabar, forty-three Malian soldiers and seventeen militants were reportedly killed. Nigerien forces conducted searches and arrested hundred suspects according to a statement by the Malian Armed Forces (FAMa) on social media.",Western Africa,Reuters; Amaq; Actu (Niger); AFP; Nashir; Journal le Gardien; AP; RFI; Aniamey,New media-Regional,Armed clash,1,1576855231,2019
718,Fulani Ethnic Militia (Mali),Civilians (Mali),Mopti,Bandiagara,Sangha,,Dogon Ethnic Group (Mali),Mali,6697888,2019-11-18,MLI3301,3301,Violence against civilians,0,1,4,7,47,466,MLI,14.4581,Banani,-3.2880,"On November 18 2019, suspected Fulani militiamen reportedly attacked the Dogon village of Banani, and fired at villagers and burned crops, no casualties reported.",Western Africa,Koro Kibaru,New media,Attack,1,1576855231,2019
719,Fulani Ethnic Militia (Mali),Civilians (Mali),Mopti,Bandiagara,Sangha,,Dogon Ethnic Group (Mali),Mali,6697892,2019-11-18,MLI3302,3302,Violence against civilians,0,1,4,7,47,466,MLI,14.4809,Ibi,-3.2632,"On November 18 2019, suspected Fulani militiamen reportedly attacked the Dogon village of Ibi, and fired at villagers and burned crops, no casualties reported.",Western Africa,Koro Kibaru,New media,Attack,1,1576855231,2019
720,Fulani Ethnic Militia (Mali),Civilians (Mali),Mopti,Bandiagara,Sangha,,Dogon Ethnic Group (Mali),Mali,6697898,2019-11-18,MLI3303,3303,Violence against civilians,0,1,4,7,47,466,MLI,14.4652,Neni,-3.2733,"On November 18 2019, suspected Fulani militiamen reportedly attacked the Dogon village of Neni, and fired at villagers and burned crops, no casualties reported.",Western Africa,Koro Kibaru,New media,Attack,1,1576855231,2019
721,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),Mopti,Bandiagara,Bara Sara,Katiba Macina,Labour Group (Mali),Mali,6698504,2019-11-17,MLI3300,3300,Violence against civilians,1,2,2,7,27,466,MLI,14.1891,Parou,-3.7488,"On November 17 2019, suspected Katiba Macina (JNIM) militants shot dead at least one truck driver, abducted another and his apprentice, and seized livestock on the road between Bandiagara and Ouo (coded as Parou at geoprecision 2).",Western Africa,Studio Tamani; Koro Kibaru,New media-Subnational,Attack,1,1576855233,2019
722,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),Mopti,Koro,Koro,Katiba Macina,Dogon Ethnic Group (Mali),Mali,6698727,2019-11-17,MLI3297,3297,Violence against civilians,0,1,2,7,27,466,MLI,13.9322,Bargou,-2.9586,"On November 17 2019, suspected Katiba Macina (JNIM) militants attacked the village of Bargou, an unknown number of wounded civilians reported, believed to be members of the Dogon community.",Western Africa,Studio Tamani,Subnational,Attack,1,1576855234,2019
723,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),Mopti,Koro,Koro,Katiba Macina,Dogon Ethnic Group (Mali),Mali,6698728,2019-11-17,MLI3299,3299,Violence against civilians,0,1,2,7,27,466,MLI,14.3172,Derou-Na,-3.0010,"On November 17 2019, suspected Katiba Macina (JNIM) militants attacked the village of Bug (coded as Bi at geoprecision 2), an unknown number of wounded civilians reported, believed to be members of the Dogon community.",Western Africa,Studio Tamani,Subnational,Attack,1,1576855234,2019
724,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),Mopti,Koro,Koro,Katiba Macina,Dogon Ethnic Group (Mali),Mali,6698729,2019-11-17,MLI3298,3298,Violence against civilians,0,2,2,7,27,466,MLI,13.9236,Bi,-2.9125,"On November 17 2019, suspected Katiba Macina (JNIM) militants attacked the village of Bug (coded as Bi at geoprecision 2), an unknown number of wounded civilians reported, believed to be members of the Dogon community.",Western Africa,Studio Tamani,Subnational,Attack,1,1576855234,2019
725,Dozo Militia,Civilians (Mali),Mopti,Bankass,Ouonkoro,,Fulani Ethnic Group (Mali); Pastoralists (Mali),Mali,6699306,2019-11-16,MLI3293,3293,Strategic developments,0,1,4,7,47,466,MLI,13.4672,Bidi,-3.9183,"On November 16 2019 , Dozo militiamen attacked the Fulani village of Bidi. Four houses were set ablaze, no casualties reported",Western Africa,FAMAMali,National,Looting/property destruction,1,1576855236,2019
726,Military Forces of France (2017-),Islamic State (Greater Sahara),Gao,Menaka,Menaka,,,Mali,7017013,2019-11-16,MLI3296,3296,Battles,5,2,8,2,28,466,MLI,15.6594,Taringuit,1.5177,"On November 16 2019, French forces conducted an air-ground operation targeting an ISGS militant camp 20km south of I-n-Deliman (coded as approximate location Taringuit at geoprecision 2), five militants were killed and arms and equipment seized by the French forces, a French soldier was severely wounded.",Western Africa,Kibaru; Journal le Gardien; AFP,New media-National,Armed clash,1,1585692248,2019
727,Zamana Communal Militia (Mali),Civilians (Mali),Sikasso,Yanfolila,Gouanan,,Labour Group (Mali),Mali,6699067,2019-11-16,MLI3315,3315,Violence against civilians,0,2,4,7,47,466,MLI,10.9333,Zamana,-8.1167,"On 16 November 2019, youths armed with rifles from the village of Zamana ambushed miners while they were working and seized twenty motorbikes, and other equipment, three miners were wounded and transported to the medical center in Yanfolila.",Western Africa,Mali Actu,National,Attack,1,1576855235,2019
728,Protesters (Mali),,Bamako,Bamako,Bamako,,,Mali,6705177,2019-11-15,MLI3289,3289,Protests,0,1,6,0,60,466,MLI,12.6500,Bamako,-8.0000,"On November 15 2019, residents in Bamako took to the streets to demonstrate their support for the army which has suffered several mass-casualty attacks.[size=thousands]",Western Africa,AMAP; RFI,National-International,Peaceful protest,1,1578503459,2019
729,Protesters (Mali),,Kayes,Kayes,Kayes Commune,Labour Group (Mali),,Mali,6699604,2019-11-15,MLI3295,3295,Protests,0,2,6,0,60,466,MLI,14.4417,Kayes,-11.4341,"On November 15 2019, civil society and residents in Guidimaga (coded as Kayes at geoprecision 2), staged a demonstration demanding the start of roadwork between Kayes and Kouffa.(size=no report]",Western Africa,AMAP,National,Peaceful protest,1,1576855237,2019
730,Protesters (Mali),,Koulikoro,Kati,Kati Commune,Women (Mali),,Mali,6699446,2019-11-15,MLI3290,3290,Protests,0,1,6,0,60,466,MLI,12.7482,Kati,-8.0722,"On November 15 2019, wives of soldiers demonstrated in Kati against presence of international forces.[size=large]",Western Africa,Facebook; Studio Tamani,New media-National,Peaceful protest,1,1576855236,2019
731,Military Forces of Mali (2013-),Civilians (Mali),Mopti,Douentza,Mondoro,,Fulani Ethnic Group (Mali); Pastoralists (Mali),Mali,6699448,2019-11-15,MLI3291,3291,Violence against civilians,9,2,1,7,17,466,MLI,14.6762,Mondoro,-1.9513,"On November 15 2019, the Malian army entered a Fulani hamlet about 5km from Mondoro, the army claimed to have killed nine militants although Fulani civil society organizations denounced the events as extrajudicial executions of nine civilians mentioned with name and age.",Western Africa,Jeunesse Tabital Pulaaku; FAMAMali,New media-National,Attack,1,1576855236,2019
732,Protesters (Mali),,Kayes,Kita,Kita Commune,,,Mali,6700137,2019-11-14,MLI3288,3288,Protests,0,2,6,0,60,466,MLI,13.0500,Kita,-9.4833,"On November 14 2019, residents in Kita barricaded the main route at a checkpoint about 4km from the town, the demonstrators demanded the nomination of a new governor of Kita region, recently created.[size=no report]",Western Africa,AMAP,National,Peaceful protest,1,1576855238,2019
733,Dozo Militia,Civilians (Mali),Mopti,Bankass,Ouonkoro,,Fulani Ethnic Group (Mali); Pastoralists (Mali),Mali,6700463,2019-11-13,MLI3287,3287,Violence against civilians,20,1,4,7,47,466,MLI,13.3971,Pe,-3.9481,"On November 13 2019, suspected Dozo militiamen attacked the Fulani village of Pe and killed at least twenty civilians.",Western Africa,Facebook; Reuters; Mali Actu,New media-National,Attack,1,1576855240,2019
734,Unidentified Armed Group (Mali),Civilians (Mali),Mopti,Koro,Bondo,,,Mali,6701481,2019-11-12,MLI3285,3285,Violence against civilians,1,1,3,7,37,466,MLI,14.2333,Dangatene,-2.9725,"On November 12 2019, unknown gunmen attacked the village of Dangatene and killed one civilian and seized livestock.",Western Africa,Studio Tamani,Subnational,Attack,1,1576855243,2019
735,JNIM: Group for Support of Islam and Muslims,Police Forces of Mali (2013-),Tombouctou,Dire,Dire,,Police Forces of Mali (2013-) Gendarmerie; Police Forces of Mali (2013-) Prison Guards,Mali,6701042,2019-11-12,MLI3286,3286,Battles,0,1,2,1,12,466,MLI,16.2570,Dire,-3.4013,"On November 12 2019, JNIM militants attacked the town of Dire including the police, gendarmerie, national guard camp, and the central prison, and liberated all prisoners, no casualties reported.",Western Africa,AMAP; Telegram; Malivox; Studio Tamani,New media-National,Armed clash,1,1576855242,2019
736,Unidentified Armed Group (Mali),Civilians (Mali),Mopti,Koro,Madougou,,,Mali,6701976,2019-11-11,MLI3284,3284,Violence against civilians,1,2,3,7,37,466,MLI,14.4431,Simerou,-3.0868,"On November 11 2019, unknown gunmen shot dead a civilian between Simerou and Madougou (coded as Simerou at geoprecision 2).",Western Africa,Studio Tamani,Subnational,Attack,1,1576855245,2019
737,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),Mopti,Bandiagara,Bandiagara,Katiba Macina,Students (Mali); Teachers (Mali),Mali,6702477,2019-11-09,MLI3283,3283,Strategic developments,0,1,2,7,27,466,MLI,14.3391,Deguimbere,-3.7696,"On November 9 2019, presumed Katiba Macina (JNIM) militants burned the local school and granaries in the village of Deguimbere.",Western Africa,Whatsapp,New media,Looting/property destruction,1,1576855247,2019
738,Military Forces of Mali (2013-),JNIM: Group for Support of Islam and Muslims,Mopti,Mopti,Konna,,Katiba Macina,Mali,6702564,2019-11-09,MLI3279,3279,Strategic developments,0,2,1,2,12,466,MLI,14.9462,Kona,-3.8931,"On November 9, 2019, the Malian army destroyed an abandoned militant camp containing motorbikes, fuel, and other equipment near Kona, presumably belonging to Katiba Macina (JNIM) militants.",Western Africa,Maliweb,National,Looting/property destruction,1,1576855247,2019
739,JNIM: Group for Support of Islam and Muslims,Police Forces of Mali (2013-) Gendarmerie,Mopti,Mopti,Konna,Katiba Macina,,Mali,6336332,2019-11-08,MLI3276,3276,Battles,2,1,2,1,12,466,MLI,14.9462,Kona,-3.8931,"On November 8, 2019, residents in Bamako took to the streets to demonstrate their supported for the Malian armed forces who in recent months suffered several deadly attacks.[size=four thousand]",Western Africa,Mali Actu; Studio Tamani,Subnational-National,Armed clash,1,1573519206,2019
740,Protesters (Mali),,Koulikoro,Kati,Kati Commune,Women (Mali),,Mali,6400625,2019-11-08,MLI3306,3306,Protests,0,1,6,0,60,466,MLI,12.7482,Kati,-8.0722,"On 8 November 2019, women in Kati staged a protest in reaction to the repeated mass-casualty attacks against the Malian army.[size=no report]",Western Africa,Nord Sud Journal,Other,Peaceful protest,1,1575322642,2019
741,Protesters (Mali),,Bamako,Bamako,Bamako,,,Mali,6705027,2019-11-08,MLI3278,3278,Protests,0,1,6,0,60,466,MLI,12.6500,Bamako,-8.0000,"On November 8, 2019, residents in Bamako took to the streets to demonstrate their supported for the Malian armed forces who, in recent months, suffered several deadly attacks. [size=four thousand]",Western Africa,Maliweb; AFP,National-International,Peaceful protest,1,1578503458,2019
742,JNIM: Group for Support of Islam and Muslims,Dan Na Ambassagou,Mopti,Bandiagara,Bandiagara,Katiba Macina,,Mali,6360579,2019-11-07,MLI3282,3282,Battles,0,1,2,4,24,466,MLI,14.3391,Deguimbere,-3.7696,"On November 7 2019, presumed Katiba Macina (JNIM) militants and Dan Na Ambassagou militiamen clashed in Deguimbere, the militants overpowered the Dozo militiamen and seized arms, ammunition, motorbikes, and other equipment. No casualties reported.",Western Africa,Twitter,New media,Armed clash,1,1574122423,2019
743,Islamic State (Greater Sahara),MSA: Movement for Azawad Salvation,Gao,Ansongo,Talataye,,,Mali,6336566,2019-11-07,MLI3275,3275,Battles,0,1,2,3,23,466,MLI,16.1506,I-n-Deliman,1.4277,"On November 7, 2019, presumed ISGS militants made an incursion into I-n-Deliman, MSA militiamen pushed the militants back, who torched material during their escape, no casualties reported.",Western Africa,Kibaru,National,Armed clash,1,1573519207,2019
744,JNIM: Group for Support of Islam and Muslims and/or Islamic State (Greater Sahara),Civilians (Mali),Mopti,Douentza,Hombori,,Police Forces of Mali (2013-) Gendarmerie,Mali,6336335,2019-11-07,MLI3281,3281,Violence against civilians,0,2,2,7,27,466,MLI,15.2790,Hombori,-1.7004,"On November 7, 2019, presumed JNIM and/or ISGS militants removed two off-duty gendarmes from a communal transport bus and took them to an unknown destination.",Western Africa,Mali Actu; Twitter,New media-National,Abduction/forced disappearance,1,1573519206,2019
745,JNIM: Group for Support of Islam and Muslims,Military Forces of Mali (2013-),Mopti,Bandiagara,Doucoumbo,Katiba Macina,,Mali,6336333,2019-11-03,MLI3277,3277,Explosions/Remote violence,2,2,2,1,12,466,MLI,14.3549,Docoumbo,-3.6561,"On November 3, 2019, two Malian soldiers were killed, six others wounded, and a military vehicle was destroyed by the explosion of an IED in the area of Docoumbo. The device was likely planted by Katiba Macina (JNIM) militants.",Western Africa,AFP; Studio Tamani,Subnational-International,Remote explosive/landmine/IED,1,1573519206,2019
746,Islamic State (Greater Sahara),Military Forces of France (2017-),Gao,Menaka,Menaka,,,Mali,7017110,2019-11-02,MLI3272,3272,Explosions/Remote violence,1,2,2,8,28,466,MLI,15.9182,Menaka,2.4022,"On November 2, 2019, one French soldier was killed near Menaka [coded: Menaka] after an IED explosion destroyed his vehicle.",Western Africa,RFI,International,Remote explosive/landmine/IED,1,1585692248,2019
747,Military Forces of Mali (2013-),JNIM: Group for Support of Islam and Muslims and/or Islamic State (Greater Sahara),Mopti,Douentza,Mondoro,Military Forces of France (2017-),,Mali,7017113,2019-11-01,MLI3294,3294,Battles,0,2,1,2,12,466,MLI,14.7953,Boulikessi,-1.3181,"From November 1 to 17 2019, the Malian army supported by French forces of Operation Barkhane conducted a reinforcement operation at the military base in Boulkessi, and the surrounding forests were raked and militant logistics infrastructure dismantled and equipment seized.",Western Africa,Xinhua; Studio Tamani; Armee Francaise,Subnational-International,Armed clash,1,1585692248,2019
748,Islamic State (Greater Sahara),Military Forces of Mali (2013-),Gao,Menaka,Menaka,,,Mali,6331315,2019-11-01,MLI3271,3271,Battles,54,2,2,1,12,466,MLI,15.9182,Menaka,2.4022,"On November 1, 2019, members of the Islamic State attacked a military base in Indelimane [unfound location within Menaka region, coded: Menaka]. 53 Military and 1 civilian were killed.",Western Africa,Reuters,International,Armed clash,1,1572909431,2019
749,Unidentified Armed Group (Mali),Civilians (Mali),Mopti,Koro,Yoro,,,Mali,6331355,2019-10-31,MLI3273,3273,Violence against civilians,0,1,3,7,37,466,MLI,14.2793,Yoro,-2.1354,"On October 31, 2019, unidentified armed men attacked the village of Yoro, injuring 3 people.",Western Africa,Studio Tamani,Subnational,Attack,1,1572909431,2019
750,Dan Na Ambassagou,Military Forces of Mali (2013-),Mopti,Bandiagara,Bandiagara Commune,,,Mali,6331025,2019-10-30,MLI3270,3270,Battles,0,1,4,1,14,466,MLI,14.3493,Bandiagara,-3.6102,"On October 30, Dan Na Ambassagou militiamen abducted a Malian soldier and member of the air force in Bandiagara. The soldier was found severely wounded, and taken to hospital by a mixed patrol the following day.",Western Africa,Whatsapp; Reelle Afrique,New media,Armed clash,1,1572909430,2019
751,Unidentified Armed Group (Mali),Civilians (Mali),Gao,Menaka,Menaka,,Tuareg Ethnic Group (Mali),Mali,6331022,2019-10-29,MLI3263,3263,Violence against civilians,3,1,3,7,37,466,MLI,15.9182,Menaka,2.4022,"On October 29, unknown gunmen shot dead three Tuareg men and seized two motorbikes a few kilometers from Menaka on the road toward Anderamboukane (coded as Menaka at geoprecision 2).",Western Africa,Twitter; Studio Tamani; Whatsapp,New media-National,Attack,1,1572909430,2019
752,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),Gao,Bourem,Bamba,,Teachers (Mali); Students (Mali),Mali,6331023,2019-10-29,MLI3266,3266,Violence against civilians,0,1,2,7,27,466,MLI,17.0072,Garbame,-1.2179,"On October 29, suspected JNIM militants aboard motorbikes attacked the market in the village of Garbame, looking for leaders of the village self-defense. The attackers gun shot wounded a man severely who attempted to alert security forces. A school in the locality was also set ablaze.",Western Africa,Reelle Afrique; Studio Tamani,New media-National,Attack,1,1572909430,2019
753,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),Tombouctou,Dire,Tindirma,,Government of Mali (2013-),Mali,6331353,2019-10-28,MLI3259,3259,Strategic developments,0,1,2,7,27,466,MLI,16.1301,Tindirma,-3.6399,"On October 28, suspected JNIM militants attacked the mayor's office in the village of Tindirma, and ransacked the facility and burned all administrative documents.",Western Africa,Studio Tamani,National,Looting/property destruction,1,1572909431,2019
754,Rioters (Mali),Civilians (Mali),Tombouctou,Tombouctou,Tombouctou,Vigilante Group (Mali),,Mali,6384365,2019-10-28,MLI3258,3258,Riots,0,1,5,7,57,466,MLI,16.7705,Timbuktu,-3.0056,"On 28 October 2019, youths burnt a bar in Sarakeina quarter of Timbuktu city, with the objective of fighting the consumption of alcohol.",Western Africa,Studio Tamani,National,Mob violence,1,1574720889,2019
755,JNIM: Group for Support of Islam and Muslims,Police Forces of Mali (2013-) Gendarmerie,Sikasso,Yorosso,Koury,Katiba Macina,,Mali,6331019,2019-10-27,MLI3260,3260,Battles,0,1,2,1,12,466,MLI,12.1840,Koury,-4.8028,"On Otober 27, suspected Katiba Macina (JNIM) militants attacked a gendarmerie checkpoint in Koury, the attack was repelled and no injuries or material damages reported. The counter-terrorism unit FORSAT was also dispatched to secure the site of the attack.",Western Africa,AMAP; Essor; Studio Tamani,National,Armed clash,1,1572909430,2019
756,Unidentified Armed Group (Mali),Civilians (Mali),Mopti,Koro,Diougani,,,Mali,6331020,2019-10-27,MLI3261,3261,Violence against civilians,4,2,3,7,37,466,MLI,14.3845,Aldouma,-2.6432,"On October 27, suspected Fulani militiamen attacked marketgoers between the villages of Aldouma and Aranan (coded as Aldouma at geoprecision 2), four civilians were killed and a vehicle burned.",Western Africa,aBamako; Koro Kibaru; Le Pays Dogon; Studio Tamani,New media-Subnational,Attack,1,1572909430,2019
757,Unidentified Armed Group (Mali),Civilians (Mali),Mopti,Koro,Madougou,,,Mali,6331021,2019-10-27,MLI3262,3262,Strategic developments,0,1,3,7,37,466,MLI,14.3974,Gangouroubourou,-3.0287,"On October 27, unknown gunmen attacked the village of Gangarabourou, and seized livestock, no casualties reported.",Western Africa,Studio Tamani; aBamako; Le Pays Dogon,Subnational-National,Looting/property destruction,1,1572909430,2019
758,Fulani Ethnic Militia (Mali),Civilians (Mali),Mopti,Koro,Koro,,Women (Mali),Mali,6336705,2019-10-27,MLI3280,3280,Violence against civilians,0,2,4,7,47,466,MLI,14.0778,Koro,-3.0832,"On October 27, 2019, suspected Fulani militiamen abducted eight people including four women on the axis Koro-Dioungani (coded as Koro at geoprecision 2).",Western Africa,Studio Tamani,Subnational,Abduction/forced disappearance,1,1573519207,2019
759,JNIM: Group for Support of Islam and Muslims,Dan Na Ambassagou,Mopti,Bandiagara,Doucoumbou,Katiba Macina,,Mali,6217665,2019-10-26,MLI3256,3256,Battles,5,2,2,4,24,466,MLI,14.2920,Doundioulou,-3.7057,"On October 26, 2019, presumed Katiba Macina (JNIM) militants clashed with Dan Na Ambassagou in the area of Doundioulou [coded to geoprecision 2], at least five militiamen were killed and three others wounded, and twenty motorbikes seized by the militants.",Western Africa,Le Pays Dogon,Subnational,Armed clash,1,1572313116,2019
760,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),Mopti,Mopti,Korombana,Katiba Macina,Teachers (Mali); Students (Mali),Mali,6215777,2019-10-25,MLI3247,3247,Violence against civilians,0,1,2,7,27,466,MLI,15.3943,Korientze,-3.7818,"On October 25, 2019, presumed Katiba Macina (JNIM) militants abducted at least five teachers, removed students from class, and set school material and documents ablaze on the street in the town of Korientze.",Western Africa,Reelle Afrique; Bamada; Whatsapp; Essor; Twitter; AFP; RFI,New media-National,Abduction/forced disappearance,1,1572312903,2019
761,JNIM: Group for Support of Islam and Muslims,Dan Na Ambassagou,Mopti,Bandiagara,Doucoumbou,Katiba Macina,,Mali,6218671,2019-10-25,MLI3257,3257,Battles,10,2,2,4,24,466,MLI,14.2920,Doundioulou,-3.7057,"On October 25, 2019, presumed Katiba Macina (JNIM) militants ambushed a Dan Na Ambassagou supply unit in the area of Doundioulou [coded to geoprecision 2], and killed an unknown number of militiamen and seized equipment, unknown fatalities coded as 10.",Western Africa,Whatsapp,New media,Armed clash,1,1572313210,2019
762,Rioters (Mali),,Kayes,Kita,Kita Commune,,,Mali,6217800,2019-10-24,MLI3255,3255,Riots,0,1,5,0,50,466,MLI,13.0500,Kita,-9.4833,"On October 24, 2019, residents in Kita barricaded the main route since the early morning and prevented access to the town. The demonstrators demanded that the area become operational.[size=no report]",Western Africa,Mali Jet,National,Violent demonstration,1,1572313131,2019
763,Unidentified Armed Group (Mali),Police Forces of Mali (2013-),Gao,Menaka,Menaka,,,Mali,6218363,2019-10-24,MLI3252,3252,Battles,2,1,3,1,13,466,MLI,15.9182,Menaka,2.4022,"On October 24, 2019, unknown gunmen attacked the cattle market in Menaka, and killed a policeman and a bystander and wounded two others.",Western Africa,Studio Tamani,National,Armed clash,1,1572313178,2019
764,Unidentified Armed Group (Mali),Police Forces of Mali (2013-) Gendarmerie,Mopti,Douentza,Douentza Commune,,,Mali,6218357,2019-10-23,MLI3254,3254,Battles,1,1,3,1,13,466,MLI,14.9951,Douentza,-2.9517,"On October 23, 2019, unknown gunmen shot dead a gendarme in Douentza.",Western Africa,Studio Tamani,Subnational,Armed clash,1,1572313175,2019
765,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),Koulikoro,Banamba,Toukoroba,Katiba Macina,Teachers (Mali); Students (Mali),Mali,6331354,2019-10-23,MLI3268,3268,Strategic developments,0,1,2,7,27,466,MLI,13.6107,Toukoroba,-7.0391,"On October 23, presumed Katiba Macina (JNIM) militants closed down the school in Toukoroboa.",Western Africa,Studio Tamani,National,Other,1,1572909431,2019
766,Unidentified Armed Group (Mali),GATIA: Imghad Tuareg and Allies Self-Defense Group,Gao,Gao,N'tillit,,,Mali,6215812,2019-10-22,MLI3251,3251,Battles,15,1,3,3,33,466,MLI,16.1433,Doro,-0.8439,"On October 22, 2019, unknown gunmen attacked a GATIA position in Doro, three militiamen, eight militants, and four civilian bystanders were killed in the attack.",Western Africa,Mali Actu; Whatsapp; aBamako; Xinhua,New media-National,Armed clash,1,1572312912,2019
767,JNIM: Group for Support of Islam and Muslims,,Mopti,Koro,Koro,Katiba Macina,,Mali,6215769,2019-10-21,MLI3246,3246,Explosions/Remote violence,0,1,2,0,20,466,MLI,13.9104,Bih,-2.9295,"On October 21, 2019, presumed Katiba Macina (JNIM) militants detonated an explosion on the bridge in the villlage of Bih, which links Koro and Yense.",Western Africa,Aujourd8; Mali Actu; Infowakat; AMAP; Essor; Whatsapp,New media-National,Remote explosive/landmine/IED,1,1572312903,2019
768,JNIM: Group for Support of Islam and Muslims and/or Islamic State (Greater Sahara),MINUSMA: United Nations Multidimensional Integrated Stabilization Mission in Mali (2013-),Gao,Menaka,Menaka,,Military Forces of Mali (2013-); Military Forces of France (2017-),Mali,7017211,2019-10-21,MLI3253,3253,Explosions/Remote violence,0,1,2,8,28,466,MLI,15.9182,Menaka,2.4022,"On October 21, 2019, suspected JNIM and/or ISGS fired a mortar or rocket against the joint MINUSMA-FAMa-International forces camp in Menaka without causing any injuries or damages.",Western Africa,Whatsapp,New media,Shelling/artillery/missile attack,1,1585692248,2019
769,Islamic State (Greater Sahara),Ganda Izo,Gao,Ansongo,Bourra,,,Mali,7126533,2019-10-20,MLI3248,3248,Battles,5,1,2,3,23,466,MLI,15.4729,Tassiga,0.6941,"On 20 October 2019, presumed ISGS militants attacked a Ganda Izo position at the manganese site of Tassiga, and killed five militiamen.",Western Africa,Studio Tamani; Jeune Afrique; AFP,National-Regional,Armed clash,1,1592254837,2019
770,JNIM: Group for Support of Islam and Muslims,Police Forces of Mali (2013-) Gendarmerie,Koulikoro,Nara,Dogofry,Katiba Macina,,Mali,6215795,2019-10-20,MLI3249,3249,Battles,0,1,2,1,12,466,MLI,15.3395,Balle,-8.5870,"On October 20, 2019, presumed Katiba Macina (JNIM) militants attacked the gendarmerie in Balle, and seized arms and set vehicles ablaze, no casualties reported.",Western Africa,Studio Tamani; AMAP,National,Armed clash,1,1572312908,2019
771,JNIM: Group for Support of Islam and Muslims,Civilians (Mali),Koulikoro,Nara,Dogofry,Katiba Macina,Government of Mali (2013-),Mali,6215803,2019-10-20,MLI3250,3250,Strategic developments,0,1,2,7,27,466,MLI,15.3395,Balle,-8.5870,"On October 20, 2019, presumed Katiba Macina (JNIM) militants attacked the residece of the subprefect in Balle, and set vehicles ablaze.",Western Africa,AMAP; Studio Tamani,National,Looting/property destruction,1,1572312912,2019
772,Rioters (Mali),Civilians (Mali),Tombouctou,Tombouctou,Tombouctou,Vigilante Group (Mali),,Mali,6384366,2019-10-20,MLI3267,3267,Riots,0,1,5,7,57,466,MLI,16.7705,Timbuktu,-3.0056,"On 20 October 2019, youths burned a bar in Djingarey-ber quarter of Timbuktu city. The attackers reportedly considered a bar disturbing to elderly people in the area.",Western Africa,Studio Tamani,National,Mob violence,1,1574720889,2019
773,JNIM: Group for Support of Islam and Muslims and/or Islamic State (Greater Sahara),MSA: Movement for Azawad Salvation,Gao,Menaka,Menaka,,GATIA: Imghad Tuareg and Allies Self-Defense Group,Mali,6159168,2019-10-19,MLI3245,3245,Battles,3,2,2,3,23,466,MLI,15.9182,Menaka,2.4022,"On October 19, 2019, suspected JNIM and/or ISGS militants attacked a joint MSA and GATIA position at the soutwestern entrance of the town of Menaka. Two MSA and one GATIA militiaman were killed and weapons seized by JNIM.",Western Africa,Kibaru; MSA Azawad,New media-National,Armed clash,1,1571699181,2019
